DATE,LNS12032195
1955-05-01,1159
1955-06-01,1176
1955-07-01,1207
1955-08-01,1360
1955-09-01,1166
1955-10-01,1026
1955-11-01,1105
1955-12-01,1106
1956-01-01,1230
1956-02-01,1061
1956-03-01,988
1956-04-01,1051
1956-05-01,1167
1956-06-01,1191
1956-07-01,1195
1956-08-01,1261
1956-09-01,1290
1956-10-01,1290
1956-11-01,1359
1956-12-01,1263
1957-01-01,1266
1957-02-01,1276
1957-03-01,1225
1957-04-01,1232
1957-05-01,1290
1957-06-01,1358
1957-07-01,1380
1957-08-01,1394
1957-09-01,1356
1957-10-01,1437
1957-11-01,1489
1957-12-01,1500
1958-01-01,1846
1958-02-01,2101
1958-03-01,2247
1958-04-01,2257
1958-05-01,2127
1958-06-01,1982
1958-07-01,1614
1958-08-01,1702
1958-09-01,1809
1958-10-01,1555
1958-11-01,1388
1958-12-01,1327
1959-01-01,1304
1959-02-01,1152
1959-03-01,1203
1959-04-01,1085
1959-05-01,988
1959-06-01,1041
1959-07-01,1092
1959-08-01,1142
1959-09-01,1037
1959-10-01,1176
1959-11-01,1220
1959-12-01,1197
1960-01-01,1091
1960-02-01,1099
1960-03-01,1041
1960-04-01,1254
1960-05-01,1310
1960-06-01,1428
1960-07-01,1364
1960-08-01,1403
1960-09-01,1557
1960-10-01,1549
1960-11-01,1604
1960-12-01,1704
1961-01-01,1700
1961-02-01,1952
1961-03-01,1646
1961-04-01,1639
1961-05-01,1609
1961-06-01,1419
1961-07-01,1392
1961-08-01,1404
1961-09-01,1351
1961-10-01,1326
1961-11-01,1269
1961-12-01,1185
1962-01-01,1016
1962-02-01,1194
1962-03-01,1159
1962-04-01,1154
1962-05-01,1205
1962-06-01,1210
1962-07-01,1275
1962-08-01,1236
1962-09-01,1174
1962-10-01,1136
1962-11-01,1277
1962-12-01,1101
1963-01-01,1196
1963-02-01,1181
1963-03-01,1169
1963-04-01,1148
1963-05-01,1131
1963-06-01,1164
1963-07-01,1132
1963-08-01,1246
1963-09-01,1267
1963-10-01,1240
1963-11-01,1206
1963-12-01,1211
1964-01-01,1025
1964-02-01,1101
1964-03-01,1071
1964-04-01,1178
1964-05-01,1087
1964-06-01,1240
1964-07-01,1124
1964-08-01,1064
1964-09-01,1076
1964-10-01,1131
1964-11-01,1026
1964-12-01,1094
1965-01-01,1082
1965-02-01,1029
1965-03-01,1048
1965-04-01,967
1965-05-01,1053
1965-06-01,940
1965-07-01,1024
1965-08-01,1002
1965-09-01,920
1965-10-01,908
1965-11-01,915
1965-12-01,858
1966-01-01,940
1966-02-01,800
1966-03-01,831
1966-04-01,773
1966-05-01,847
1966-06-01,894
1966-07-01,973
1966-08-01,813
1966-09-01,860
1966-10-01,873
1966-11-01,785
1966-12-01,998
1967-01-01,1105
1967-02-01,1237
1967-03-01,1229
1967-04-01,1254
1967-05-01,1011
1967-06-01,1114
1967-07-01,1077
1967-08-01,1092
1967-09-01,1184
1967-10-01,1144
1967-11-01,1145
1967-12-01,1065
1968-01-01,970
1968-02-01,1104
1968-03-01,946
1968-04-01,951
1968-05-01,929
1968-06-01,989
1968-07-01,1000
1968-08-01,1003
1968-09-01,930
1968-10-01,951
1968-11-01,960
1968-12-01,998
1969-01-01,949
1969-02-01,953
1969-03-01,988
1969-04-01,978
1969-05-01,956
1969-06-01,1034
1969-07-01,981
1969-08-01,1076
1969-09-01,1086
1969-10-01,1059
1969-11-01,1076
1969-12-01,1088
1970-01-01,1171
1970-02-01,1201
1970-03-01,1188
1970-04-01,1293
1970-05-01,1318
1970-06-01,1273
1970-07-01,1381
1970-08-01,1328
1970-09-01,1197
1970-10-01,1382
1970-11-01,1382
1970-12-01,1505
1971-01-01,1505
1971-02-01,1425
1971-03-01,1485
1971-04-01,1415
1971-05-01,1423
1971-06-01,1334
1971-07-01,1396
1971-08-01,1355
1971-09-01,1347
1971-10-01,1457
1971-11-01,1440
1971-12-01,1310
1972-01-01,1351
1972-02-01,1278
1972-03-01,1292
1972-04-01,1315
1972-05-01,1268
1972-06-01,1327
1972-07-01,1257
1972-08-01,1311
1972-09-01,1270
1972-10-01,1189
1972-11-01,1051
1972-12-01,1055
1973-01-01,1032
1973-02-01,1123
1973-03-01,1096
1973-04-01,1111
1973-05-01,1177
1973-06-01,1191
1973-07-01,1309
1973-08-01,1283
1973-09-01,1274
1973-10-01,1298
1973-11-01,1319
1973-12-01,1427
1974-01-01,1353
1974-02-01,1457
1974-03-01,1338
1974-04-01,1205
1974-05-01,1313
1974-06-01,1440
1974-07-01,1345
1974-08-01,1462
1974-09-01,1669
1974-10-01,1704
1974-11-01,1911
1974-12-01,2035
1975-01-01,2491
1975-02-01,2351
1975-03-01,2350
1975-04-01,2379
1975-05-01,2320
1975-06-01,2140
1975-07-01,1885
1975-08-01,1952
1975-09-01,1870
1975-10-01,1902
1975-11-01,1844
1975-12-01,1793
1976-01-01,1984
1976-02-01,1688
1976-03-01,1668
1976-04-01,1721
1976-05-01,1760
1976-06-01,1677
1976-07-01,1684
1976-08-01,1656
1976-09-01,1758
1976-10-01,1927
1976-11-01,1802
1976-12-01,1738
1977-01-01,1626
1977-02-01,1715
1977-03-01,1692
1977-04-01,1577
1977-05-01,1655
1977-06-01,1652
1977-07-01,1721
1977-08-01,1704
1977-09-01,1618
1977-10-01,1608
1977-11-01,1617
1977-12-01,1530
1978-01-01,1507
1978-02-01,1499
1978-03-01,1575
1978-04-01,1575
1978-05-01,1466
1978-06-01,1582
1978-07-01,1591
1978-08-01,1621
1978-09-01,1615
1978-10-01,1517
1978-11-01,1473
1978-12-01,1547
1979-01-01,1560
1979-02-01,1555
1979-03-01,1567
1979-04-01,1591
1979-05-01,1610
1979-06-01,1649
1979-07-01,1569
1979-08-01,1688
1979-09-01,1678
1979-10-01,1692
1979-11-01,1836
1979-12-01,1878
1980-01-01,1945
1980-02-01,1836
1980-03-01,1881
1980-04-01,2259
1980-05-01,2617
1980-06-01,2688
1980-07-01,2561
1980-08-01,2445
1980-09-01,2347
1980-10-01,2322
1980-11-01,2268
1980-12-01,2327
1981-01-01,2347
1981-02-01,2325
1981-03-01,2311
1981-04-01,2240
1981-05-01,2364
1981-06-01,2302
1981-07-01,2321
1981-08-01,2409
1981-09-01,2326
1981-10-01,2713
1981-11-01,2777
1981-12-01,2887
1982-01-01,2541
1982-02-01,3042
1982-03-01,3137
1982-04-01,3315
1982-05-01,3308
1982-06-01,3349
1982-07-01,3117
1982-08-01,3347
1982-09-01,3686
1982-10-01,3658
1982-11-01,3448
1982-12-01,3345
1983-01-01,3313
1983-02-01,3115
1983-03-01,3038
1983-04-01,2887
1983-05-01,2841
1983-06-01,2779
1983-07-01,2800
1983-08-01,2768
1983-09-01,2669
1983-10-01,2542
1983-11-01,2624
1983-12-01,2503
1984-01-01,2528
1984-02-01,2502
1984-03-01,2342
1984-04-01,2359
1984-05-01,2263
1984-06-01,2322
1984-07-01,2375
1984-08-01,2352
1984-09-01,2451
1984-10-01,2529
1984-11-01,2455
1984-12-01,2650
1985-01-01,2459
1985-02-01,2207
1985-03-01,2600
1985-04-01,2532
1985-05-01,2646
1985-06-01,2542
1985-07-01,2399
1985-08-01,2478
1985-09-01,2451
1985-10-01,2218
1985-11-01,2307
1985-12-01,2374
1986-01-01,2357
1986-02-01,2321
1986-03-01,2321
1986-04-01,2553
1986-05-01,2716
1986-06-01,2449
1986-07-01,2451
1986-08-01,2390
1986-09-01,2523
1986-10-01,2514
1986-11-01,2497
1986-12-01,2447
1987-01-01,2441
1987-02-01,2448
1987-03-01,2384
1987-04-01,2331
1987-05-01,2343
1987-06-01,2327
1987-07-01,2408
1987-08-01,2483
1987-09-01,2275
1987-10-01,2429
1987-11-01,2444
1987-12-01,2300
1988-01-01,2358
1988-02-01,2403
1988-03-01,2420
1988-04-01,2224
1988-05-01,2284
1988-06-01,2343
1988-07-01,2460
1988-08-01,2352
1988-09-01,2269
1988-10-01,2231
1988-11-01,2267
1988-12-01,2590
1989-01-01,2318
1989-02-01,2292
1989-03-01,2195
1989-04-01,2331
1989-05-01,2316
1989-06-01,2311
1989-07-01,2304
1989-08-01,2341
1989-09-01,2331
1989-10-01,2359
1989-11-01,2324
1989-12-01,2291
1990-01-01,2441
1990-02-01,2303
